"subject","activity","tBodyAcc-mean()-X","tBodyAcc-mean()-Y","tBodyAcc-mean()-Z","tBodyAcc-std()-X","tBodyAcc-std()-Y","tBodyAcc-std()-Z","tGravityAcc-mean()-X","tGravityAcc-mean()-Y","tGravityAcc-mean()-Z","tGravityAcc-std()-X","tGravityAcc-std()-Y","tGravityAcc-std()-Z","tBodyAccJerk-mean()-X","tBodyAccJerk-mean()-Y","tBodyAccJerk-mean()-Z","tBodyAccJerk-std()-X","tBodyAccJerk-std()-Y","tBodyAccJerk-std()-Z","tBodyGyro-mean()-X","tBodyGyro-mean()-Y","tBodyGyro-mean()-Z","tBodyGyro-std()-X","tBodyGyro-std()-Y","tBodyGyro-std()-Z","tBodyGyroJerk-mean()-X","tBodyGyroJerk-mean()-Y","tBodyGyroJerk-mean()-Z","tBodyGyroJerk-std()-X","tBodyGyroJerk-std()-Y","tBodyGyroJerk-std()-Z","tBodyAccMag-mean()","tBodyAccMag-std()","tGravityAccMag-mean()","tGravityAccMag-std()","tBodyAccJerkMag-mean()","tBodyAccJerkMag-std()","tBodyGyroMag-mean()","tBodyGyroMag-std()","tBodyGyroJerkMag-mean()","tBodyGyroJerkMag-std()","fBodyAcc-mean()-X","fBodyAcc-mean()-Y","fBodyAcc-mean()-Z","fBodyAcc-std()-X","fBodyAcc-std()-Y","fBodyAcc-std()-Z","fBodyAccJerk-mean()-X","fBodyAccJerk-mean()-Y","fBodyAccJerk-mean()-Z","fBodyAccJerk-std()-X","fBodyAccJerk-std()-Y","fBodyAccJerk-std()-Z","fBodyGyro-mean()-X","fBodyGyro-mean()-Y","fBodyGyro-mean()-Z","fBodyGyro-std()-X","fBodyGyro-std()-Y","fBodyGyro-std()-Z","fBodyAccMag-mean()","fBodyAccMag-std()"
1,1,0.239023123757282,-0.0319923745871845,-0.10502120184466,-0.633032512524272,-0.407420818707767,-0.411023978061165,0.338869109281553,0.156149129737864,0.177616797893204,-0.927465566990291,-0.930941841728155,-0.883246827776699,0.0915250620961165,0.0118901408178641,-0.0181854666237864,-0.69521195776699,-0.643262216116505,-0.827108860970874,0.0179753633796117,-0.116808902952427,0.102209007496116,-0.704420989621359,-0.459582012317476,-0.701885173786408,-0.11496974916699,-0.0418421313825243,-0.0568958383647573,-0.76227292223301,-0.779468786019417,-0.776942758252427,-0.475559437417476,-0.553210703330097,-0.475559437417476,-0.553210703330097,-0.703344620194175,-0.697076091165049,-0.489854016198058,-0.474051770337864,-0.773804304368932,-0.788013208640777,-0.663922399805825,-0.519175014194175,-0.651464835145631,-0.622384133300971,-0.39347081301165,-0.350377481452427,-0.71152507,-0.660540714854369,-0.812943553106796,-0.705719493203883,-0.64898133961165,-0.83989786407767,-0.666222108051456,-0.626618728349515,-0.674813479029126,-0.719486646116505,-0.383786800728155,-0.739122727475728,-0.599663761893204,-0.601716819417476
1,2,0.272004138415493,-0.0120630442234507,-0.108962298612676,-0.513275267464789,-0.228797529429577,-0.484952157676056,0.900895570492958,-0.121115015239437,0.0643400137323944,-0.973911280915493,-0.959460337816901,-0.948155354507042,0.0751805183309859,0.0187095252112676,-0.0039034142771831,-0.402505110291549,-0.279994681669014,-0.66329780084507,-0.0429957337399296,-0.0769421807894366,0.0776586799992958,-0.640245080774648,-0.356422613398944,-0.541917944225352,-0.0912161790084507,-0.0399649853795775,-0.046320153321831,-0.467017331211268,-0.531210265704225,-0.597445428873239,-0.405587962837324,-0.453824697288732,-0.405587962837324,-0.453824697288732,-0.421421507380282,-0.375552516802394,-0.415809890992958,-0.434408036126761,-0.528167165866197,-0.544763195316901,-0.459919699443662,-0.252459611702817,-0.539295077323944,-0.536684345633803,-0.266113553870634,-0.496410638183099,-0.440648040085986,-0.348455350286908,-0.640136772394366,-0.416217593950704,-0.253787798042817,-0.684857172746479,-0.549913010816901,-0.391937028671127,-0.48610014028169,-0.669346710211268,-0.340940085773944,-0.60448978971831,-0.399753698378873,-0.573591559366197
1,3,0.283851588627451,-0.0131499902098039,-0.109143526416667,-0.502975913734598,-0.521018962931373,-0.619798018892157,0.937630417156863,-0.269922056078431,-0.0228321285098039,-0.973008519411765,-0.959989118235294,-0.937708043431373,0.0651820900196078,0.0183880955117647,-0.00718573435192157,-0.522705391242157,-0.56095932315098,-0.681669892,-0.0293155026366667,-0.0745487454313725,0.0821431911661765,-0.732986958568628,-0.573931724235294,-0.569457240077451,-0.0872871496248039,-0.0440279548186275,-0.0384278252235294,-0.749906180784314,-0.631811040872549,-0.644618247959804,-0.498377634420392,-0.500672961267647,-0.498377634420392,-0.500672961267647,-0.558611955481373,-0.528408797702941,-0.543779338078431,-0.616971230931373,-0.658931061019608,-0.664116502754902,-0.498774671133333,-0.506949112216078,-0.620332307284314,-0.505855795805882,-0.55947801635,-0.651266094117647,-0.530107468362745,-0.573841981027451,-0.653316341666667,-0.558519374268333,-0.577513592696078,-0.708616589313726,-0.681848348988235,-0.540643005205882,-0.524927229830392,-0.751108329794118,-0.600059130139216,-0.624980756764706,-0.46560044077549,-0.600025651005882
2,1,0.264269097177083,-0.0197854264814583,-0.12987975496875,-0.639217935625,-0.436125059430208,-0.548177159047917,0.140481590208333,0.168160874479167,0.225473320345833,-0.946711090625,-0.955989659479167,-0.9311172375,0.0785240175619792,0.00127246665427083,0.008839395146875,-0.630997027614583,-0.584410747735417,-0.7810941834375,-0.0380839351041667,-0.0719445671614583,0.106860124135417,-0.7137641459375,-0.7242949728125,-0.562151176047917,-0.0924299671708333,-0.0391321942270833,-0.0573470251229167,-0.729045106145833,-0.8175294378125,-0.727815891145833,-0.542379082364583,-0.58942547910625,-0.542379082364583,-0.58942547910625,-0.654505303541667,-0.601453735415625,-0.584862521270833,-0.66934811078125,-0.782291756354167,-0.7935049071875,-0.62172299653125,-0.484938209549063,-0.632691484038542,-0.646914448229167,-0.448072413258333,-0.539668580715625,-0.62222653528125,-0.585305191064583,-0.754462598958333,-0.676332848645833,-0.614270769791667,-0.807218175,-0.659037359979167,-0.7357038796875,-0.60563650475,-0.732609765729167,-0.720834552708333,-0.590623346885417,-0.560214367807292,-0.670924815833333
2,2,0.276716064571429,-0.0173214093948571,-0.1071291586,-0.670369069809524,-0.46037896100381,-0.659450379714286,0.925047402190476,-0.241036185113752,0.134669804790476,-0.975889351238095,-0.96538484247619,-0.964337411142857,0.0663854503719048,0.0153780719989524,0.00776834737752381,-0.588808253186667,-0.43777898943619,-0.761954023428571,-0.0497159388795238,-0.0533597612990476,0.0646063091619048,-0.747386651142857,-0.731419663238095,-0.690809687333333,-0.0870307422,-0.0484546293666667,-0.0480290997257143,-0.652476715428571,-0.79043055247619,-0.676466808952381,-0.587210997428571,-0.654970023047619,-0.587210997428571,-0.654970023047619,-0.590434875038095,-0.52353141002381,-0.665371528476191,-0.731891445428571,-0.742062417047619,-0.746966259333333,-0.626322077809524,-0.431716045139048,-0.680019388190476,-0.689715121714286,-0.511308135009524,-0.674988556095238,-0.603936652952381,-0.472338164438095,-0.743413163619048,-0.610091330295238,-0.438301320747619,-0.779164286761905,-0.671939833809524,-0.741982829619048,-0.643375394,-0.771736373333333,-0.727696713142857,-0.736700798285714,-0.603349225409524,-0.74291128752381
2,3,0.277773671871287,-0.0203941703287129,-0.110982863752475,-0.50627176229802,-0.389495300389109,-0.555638036128713,0.880596196534653,-0.349455944158416,0.0489461677346535,-0.965129078316832,-0.958314053465346,-0.939184781881188,0.0911771025620792,0.00399638431277228,-0.0142180065616832,-0.456018999087129,-0.460161317384158,-0.68375419009901,-0.0667138070678218,-0.0461072896831683,0.0921808730118812,-0.669495245746535,-0.71284760019802,-0.64589035780198,-0.0834775987029703,-0.0421977792217822,-0.0622712210722772,-0.63711588009901,-0.744235612990099,-0.622113498658416,-0.474550070560396,-0.411808815546535,-0.474550070560396,-0.411808815546535,-0.52159027230198,-0.415331261673267,-0.590594515304257,-0.637926888465347,-0.717271469207921,-0.682167022217822,-0.473560291234653,-0.383671828683168,-0.575684265881188,-0.521308239966337,-0.432121789613861,-0.58141544100495,-0.460206762761386,-0.474298432615842,-0.650181169326733,-0.502320316270297,-0.482880451594059,-0.716386968019802,-0.584866085733663,-0.688406554336634,-0.554318176728713,-0.697850321039604,-0.732637483663366,-0.715318338910891,-0.378889605348515,-0.523540095486139
3,1,0.268350556867769,-0.0255165090047934,-0.105574021059504,-0.656251524380165,-0.487285214554545,-0.674085667768595,0.306937579256198,0.242212992644628,0.170957885289256,-0.963753424049587,-0.946399188099174,-0.937824616115702,0.060259725607438,0.0264431815368595,0.00792003828677273,-0.726099420826446,-0.619084350726446,-0.848713447107438,0.0245374088838843,-0.104727217529752,0.0812234264570248,-0.721720273710744,-0.784898615206612,-0.733757510413223,-0.107585806016529,-0.0394940723710744,-0.0595104718876033,-0.749664055454546,-0.883884003801653,-0.783467572231405,-0.588181341033058,-0.656725417024793,-0.588181341033058,-0.656725417024793,-0.714919117355372,-0.714229218016529,-0.656933896785124,-0.688341896016529,-0.826851797024793,-0.853870150661157,-0.693632365595041,-0.530928053423141,-0.742163388099174,-0.643169408421488,-0.497919157871901,-0.664630903471074,-0.735697872809917,-0.634753812816446,-0.831959858347107,-0.740941704628099,-0.628330815578512,-0.864246149256198,-0.681530202677686,-0.811921465206612,-0.703503304958678,-0.736492540330579,-0.771758062809917,-0.76921228338843,-0.648748791322314,-0.714622985619835
3,2,0.266883526863636,-0.0107128128552727,-0.105906852063636,-0.64902924,-0.441810381929091,-0.617960225363636,0.919768530090909,-0.0779584821746364,-0.0071016905,-0.968105673727273,-0.934732941090909,-0.926396478727273,0.0772839808766364,0.00659223420727273,-0.00496595108409091,-0.602324760409091,-0.474514781606364,-0.739932692545455,-0.0317368107418182,-0.076650978,0.0873346467378182,-0.757918567727273,-0.743931334545455,-0.689290043727273,-0.0991946871645455,-0.0375127669581818,-0.0544489928318182,-0.663236111818182,-0.799601548454545,-0.743287304818182,-0.557563395818182,-0.584586970181818,-0.557563395818182,-0.584586970181818,-0.605752177818182,-0.530688663535455,-0.680530082727273,-0.733586918436364,-0.760834012181818,-0.760906633454545,-0.625560396436364,-0.464497675627273,-0.651391531272727,-0.659286899909091,-0.467053476782727,-0.631624360181818,-0.621542696072727,-0.525148600936364,-0.730035778363636,-0.617903168454545,-0.455106187528273,-0.748518054909091,-0.683524431454545,-0.748086799909091,-0.662451404272727,-0.781942897454545,-0.744138749636364,-0.727771948636364,-0.580358970636364,-0.654092922545455
3,3,0.285559891454545,-0.0165728361328182,-0.108088885301109,-0.561676249527273,-0.510225236223636,-0.6667848359,0.936824628090909,-0.269258858636364,-0.0318612330190909,-0.967784013272727,-0.952378017090909,-0.915591906,0.0739670121717273,0.00916620811090909,-0.00537922953727273,-0.568968409609091,-0.571849222581818,-0.794287860363636,-0.0722864507072727,-0.0386543283345455,0.0920509882663636,-0.615901937879091,-0.758048952,-0.702975359818182,-0.0898428552036364,-0.0436401759790909,-0.0416547499845455,-0.649051555863636,-0.840371619909091,-0.698286717481818,-0.541173617632636,-0.525811890040909,-0.541173617632636,-0.525811890040909,-0.623402339509091,-0.567399660574545,-0.590608007918182,-0.598668897981818,-0.760204645454545,-0.791186428363636,-0.551217200017273,-0.506999274973636,-0.701164910454545,-0.567022297945455,-0.543771732925455,-0.675357319990909,-0.571459483390909,-0.583766954354546,-0.773123474454545,-0.606377529687273,-0.589268592209427,-0.814309832363636,-0.557295276913636,-0.761749042090909,-0.642972558161818,-0.637672838559091,-0.758293771636364,-0.754222054181818,-0.501154365559091,-0.615369294126364
4,1,0.267148923009434,-0.0233316441461698,-0.112420488716981,-0.586631888028302,-0.512456921103208,-0.672973579622641,0.249904269716981,0.351941620660377,0.215277384537736,-0.939495758584906,-0.947034446415094,-0.948431589150943,0.0751256859066038,0.0150121499994623,-0.00159644624924528,-0.685035166037736,-0.618109032896226,-0.854881163867925,0.0146168547830189,-0.089546650290566,0.127853035911321,-0.718659858962264,-0.760014635471698,-0.667114691132075,-0.117996425496226,-0.03857820985,-0.0717228727660377,-0.758549498396226,-0.915167803301887,-0.774136149433962,-0.561685992533962,-0.578437918132075,-0.561685992533962,-0.578437918132075,-0.690878574716981,-0.703962868962264,-0.620955643301887,-0.733116709433962,-0.838835609245283,-0.871129880566038,-0.632912285367925,-0.535748854883019,-0.750257817358491,-0.570192443290094,-0.531878902208491,-0.659453311792453,-0.703708814716981,-0.626983481572264,-0.835436418584906,-0.693923926509434,-0.635387860481132,-0.873568489245283,-0.674760277169811,-0.830964847075472,-0.661883948207547,-0.733958943301887,-0.727402995566038,-0.70027684754717,-0.61435820545283,-0.625098654924528
